"id"	"age"	"tenure"	"female"	"wbeing"	"satis"	"jobperf"	"turnover"	"iq"
142	35	12	1	5	6	6	0	116
143	37	9	1	6	4	7	1	100
144	38	11	1	8	6	6	1	99
145	33	12	1	5	6	8	0	110
146	43	13	1	5	5	4	1	96
147	31	13	1	8	8	6	0	104
148	36	8	1	5	7	4	0	109
149	37	13	1	5	6	6	1	103
150	41	14	1	7	5	6	0	93
151	37	10	1	5	6	5	0	96
152	32	13	1	6	6	5	1	94
153	34	10	1	6	8	6	0	108
154	36	10	1	7	7	7	1	89
155	36	8	1	7	5	7	0	101
156	44	7	1	7	8	6	0	105
157	44	13	1	6	6	5	1	94
158	34	9	1	6	7	5	0	102
159	18	6	1	7	6	8	1	117
160	41	12	1	7	5	6	1	101
161	24	4	1	5	4	5	0	96
162	37	12	1	6	5	6	0	96
163	43	11	1	7	6	6	0	95
164	33	6	1	6	5	5	1	95
165	37	7	1	7	6	6	0	103
166	46	14	1	7	6	6	0	99
167	43	10	1	6	4	5	0	99
168	30	7	1	7	7	7	0	114
169	45	8	1	7	6	5	0	105
170	44	14	1	6	6	5	0	95
171	37	7	1	5	4	7	0	109
172	38	7	1	7	7	6	0	99
173	43	14	1	6	4	7	0	101
174	40	7	1	6	8	6	0	101
175	43	7	1	6	5	6	0	93
176	40	13	1	6	6	4	0	73
177	33	8	1	9	8	7	0	119
178	37	9	1	7	5	9	0	105
179	30	8	1	6	6	7	0	112
180	40	13	1	5	5	3	1	84
181	33	14	1	6	7	8	0	105
182	32	8	1	7	6	5	1	98
183	35	13	1	4	5	3	1	79
184	36	10	1	7	7	7	0	108
185	34	10	1	9	7	8	0	113
186	35	12	1	7	5	7	0	105
187	43	18	1	7	7	7	0	94
188	40	11	1	7	8	6	0	109
189	36	7	1	8	5	5	1	90
190	30	5	1	4	5	4	1	87
191	41	12	1	7	7	6	0	104
192	39	10	1	7	6	5	0	103
193	44	12	1	6	8	6	0	104
194	41	11	1	6	6	5	0	85
195	31	9	1	6	5	7	0	107
196	31	6	1	5	6	6	0	98
197	38	13	1	8	7	7	0	107
198	33	9	1	5	5	5	1	89
199	39	11	1	7	9	7	0	114
200	41	10	1	5	4	4	1	89
201	38	9	1	6	5	3	1	90
202	39	11	1	6	6	3	1	97
203	40	11	1	7	7	7	0	109
204	42	14	1	8	6	7	0	101
205	43	12	1	6	6	7	0	112
206	35	9	1	5	7	5	0	103
207	37	12	1	6	7	6	0	99
208	32	4	1	5	4	5	0	92
209	46	10	1	6	6	4	1	92
210	34	14	1	8	7	8	0	101
211	37	10	1	6	5	8	0	102
212	44	13	1	6	4	6	0	96
213	24	2	1	6	5	8	0	116
214	42	13	1	8	5	8	0	93
215	34	8	1	7	5	5	1	96
216	37	4	1	8	7	6	0	114
217	43	10	1	7	5	6	0	106
218	34	11	1	6	6	7	1	118
219	43	15	1	4	5	5	0	86
220	35	14	1	6	7	5	0	99
221	40	10	1	6	8	6	0	101
222	43	12	1	5	6	5	0	98
223	33	6	1	6	5	5	1	93
224	39	8	1	7	5	7	0	101
225	40	13	1	7	7	6	0	97
226	31	7	1	8	6	8	1	102
227	42	11	1	6	6	7	0	99
228	40	16	1	6	6	5	1	104
229	35	12	1	6	6	6	1	104
230	33	11	1	5	6	4	0	90
231	41	10	1	8	8	6	1	95
232	40	11	1	8	7	7	0	93
233	39	9	1	6	5	6	0	98
234	34	6	1	6	3	8	0	94
235	47	8	1	5	9	5	0	109
236	36	7	1	6	6	6	1	96
237	45	10	1	7	7	6	0	99
238	37	4	1	6	6	5	0	88
239	42	14	1	6	7	6	1	109
240	38	10	1	8	9	6	0	105
241	42	10	1	4	5	5	1	94
242	42	12	1	9	7	9	0	115
243	41	13	1	7	7	7	0	103
244	32	10	1	7	7	6	0	102
245	35	13	1	8	6	6	0	96
246	40	9	1	6	4	5	1	105
247	38	13	1	8	6	6	0	101
248	29	9	1	5	6	7	1	96
249	40	11	1	7	5	7	0	98
250	41	14	1	7	5	6	1	96
251	51	11	1	7	6	7	1	104
252	39	10	1	5	6	5	0	98
253	45	10	1	6	6	6	0	99
254	36	6	1	6	6	5	1	94
255	33	5	1	6	6	5	1	99
256	39	13	1	7	5	7	0	103
257	36	13	1	6	4	5	1	112
258	38	12	1	7	8	7	0	100
259	47	7	1	7	7	6	0	118
260	41	14	1	5	7	6	1	100
261	44	12	0	6	7	8	0	96
262	31	7	0	6	5	5	1	93
263	42	8	0	8	6	7	0	109
264	43	11	0	5	5	4	0	94
265	46	10	0	4	5	4	0	99
266	36	8	0	4	7	8	0	97
267	36	7	0	6	5	6	1	95
268	43	10	0	7	8	6	0	116
269	36	7	0	7	6	5	0	100
270	30	7	0	4	4	7	1	104
271	50	14	0	7	6	6	0	93
272	42	10	0	9	6	6	0	109
273	42	10	0	8	7	6	0	107
274	40	7	0	5	5	3	1	90
275	40	8	0	4	5	6	1	105
276	33	14	0	6	6	6	1	97
277	45	10	0	6	6	7	0	100
278	40	7	0	4	4	6	1	99
279	28	5	0	7	6	8	0	106
280	36	5	0	5	4	7	0	99
281	39	10	0	8	6	9	0	120
282	35	11	0	5	5	6	0	97
283	38	9	0	7	6	7	0	100
284	30	6	0	4	6	5	0	88
285	43	12	0	4	6	6	0	93
286	42	9	0	6	6	7	0	101
287	41	15	0	8	8	7	0	111
288	31	11	0	6	6	3	1	104
289	32	11	0	5	5	4	1	82
290	49	13	0	9	6	9	0	98
291	42	11	0	6	6	6	0	92
292	30	12	0	7	6	6	0	109
293	44	13	0	6	4	5	0	78
294	34	4	0	8	7	7	0	107
295	42	10	0	7	6	5	1	89
296	45	11	0	8	7	8	0	105
297	37	10	0	7	6	6	0	101
298	36	10	0	5	5	6	1	104
299	40	12	0	5	6	4	1	98
300	40	10	0	5	6	5	1	91
301	37	8	0	5	6	6	1	105
302	30	7	0	6	6	4	1	88
303	43	12	0	5	6	5	1	96
304	36	5	0	6	6	7	0	102
305	33	9	0	5	5	5	1	96
306	36	11	0	7	5	6	0	97
307	36	10	0	7	7	5	0	99
308	46	10	0	7	6	8	0	91
309	38	9	0	7	7	4	0	110
310	39	8	0	6	7	5	0	102
311	45	11	0	8	8	5	1	99
312	34	5	0	6	6	8	0	96
313	40	13	0	6	7	6	0	87
314	40	15	0	6	6	6	1	93
315	40	9	0	6	7	7	0	98
316	43	10	0	7	6	6	0	92
317	30	6	0	8	6	8	0	98
318	41	11	0	5	5	7	1	102
319	38	10	0	5	5	7	0	96
320	37	6	0	7	7	6	0	102
321	39	14	0	6	5	6	0	99
322	37	13	0	7	5	6	0	89
323	41	14	0	5	6	6	0	120
324	42	9	0	5	7	7	0	98
325	42	7	0	5	6	5	0	94
326	34	9	0	5	6	6	0	99
327	44	9	0	7	5	6	0	99
328	31	5	0	4	7	5	1	91
329	50	12	0	5	6	6	0	94
330	36	4	0	4	6	4	1	101
331	33	6	0	7	8	7	0	116
332	38	17	0	8	5	5	0	92
333	33	9	0	7	7	8	1	104
334	45	15	0	5	6	6	0	98
335	32	8	0	6	5	7	1	116
336	38	13	0	6	6	6	0	106
337	42	9	0	7	8	6	0	104
338	39	11	0	6	7	5	0	107
339	34	8	0	6	5	5	0	96
340	41	16	0	7	6	5	0	100
341	29	11	0	6	6	7	1	112
342	46	12	0	8	7	7	0	101
343	39	12	0	4	6	6	1	101
344	42	13	0	6	7	5	0	91
345	49	13	0	7	6	6	0	101
346	44	13	0	5	5	6	1	88
347	34	8	0	4	5	7	1	102
348	37	10	0	8	8	7	0	99
349	42	13	0	5	6	6	0	85
350	36	5	0	5	4	7	0	106
351	47	17	0	8	8	5	1	100
352	32	6	0	7	7	7	0	91
353	41	14	0	7	8	6	1	100
354	37	12	0	6	7	8	0	108
355	48	16	0	5	8	5	0	92
356	41	15	0	6	4	6	0	94
357	31	5	0	7	5	8	0	100
358	32	5	0	7	5	4	0	93
359	37	17	0	4	6	6	1	90
360	33	9	0	6	4	5	0	82
361	25	10	0	6	5	6	1	98
362	34	7	0	6	6	6	1	113
363	42	11	0	9	8	7	0	113
364	27	2	0	6	5	6	1	84
365	42	10	0	5	4	5	0	95
366	35	9	0	9	5	7	0	90
367	40	11	0	7	4	6	0	97
368	36	11	0	6	5	6	0	100
369	37	12	0	6	8	7	1	99
370	36	13	0	7	8	5	0	102
371	36	13	0	7	6	6	0	93
372	31	5	0	7	7	4	1	109
373	36	11	0	6	6	8	0	105
374	29	7	0	5	5	6	1	102
375	34	13	0	6	4	6	1	87
376	40	14	0	6	8	7	0	105
377	30	11	0	5	5	6	1	101
378	31	9	0	6	7	5	0	90
379	38	10	0	7	4	7	0	106
380	30	8	0	4	5	5	1	100
381	33	9	0	7	5	4	1	92
382	39	9	0	6	5	6	0	103
383	32	5	0	8	7	5	0	105
384	38	6	0	7	6	6	0	103
385	31	7	0	5	7	6	1	101
386	44	10	0	8	5	6	0	104
387	34	12	0	7	5	7	1	89
388	50	14	0	7	7	6	0	109
389	36	9	0	5	4	6	0	110
390	39	10	0	5	4	7	1	106
391	32	9	0	3	5	3	1	82
392	29	8	0	4	6	7	1	99
393	27	6	0	6	5	8	0	108
394	37	13	0	6	6	5	1	95
395	38	10	0	3	6	3	0	95
396	38	8	0	5	6	5	1	86
397	34	8	0	4	4	5	1	92
398	42	17	0	8	6	6	1	109
399	32	5	0	5	4	6	0	98
400	30	12	0	7	7	7	0	98
401	41	6	0	6	5	7	0	107
402	43	11	0	6	6	6	0	103
403	42	13	0	7	4	7	0	98
404	36	8	0	5	8	5	0	108
405	37	9	0	7	6	7	0	99
406	28	9	0	6	5	5	1	89
407	40	12	0	6	6	5	0	94
408	36	7	0	6	4	5	0	90
409	41	19	0	7	5	5	1	96
410	40	9	0	10	8	9	0	113
411	45	8	0	6	4	6	1	85
412	32	8	0	6	3	8	0	94
413	44	15	0	8	7	4	1	102
414	35	11	0	7	6	7	0	93
415	45	13	0	6	5	7	0	90
416	40	9	0	5	5	5	0	93
417	36	11	0	5	4	7	1	104
418	36	11	0	4	8	4	0	96
419	49	11	0	7	8	6	0	103
420	37	13	0	5	5	6	1	97
421	40	10	0	5	7	6	1	106
422	36	11	0	6	7	6	0	109
423	40	13	0	7	8	8	0	122
424	36	9	0	7	7	7	0	104
425	45	9	0	4	4	6	0	86
426	32	5	0	4	4	4	0	75
427	41	10	0	9	7	7	0	91
428	33	8	0	5	7	5	1	112
429	44	12	0	7	6	6	0	107
430	32	7	0	6	7	5	0	93
431	43	12	0	7	6	8	0	110
432	44	12	0	7	7	8	0	112
433	48	11	0	6	6	6	0	100
434	25	12	0	8	6	5	0	94
435	39	8	0	7	6	7	0	100
436	43	12	0	6	7	7	1	111
437	30	11	0	5	5	6	0	94
438	40	9	0	9	6	6	0	98
439	34	10	0	7	8	9	0	116
440	43	14	0	7	5	8	0	103
441	38	9	0	7	5	8	0	107
442	43	11	0	6	5	5	1	92
443	31	12	0	6	8	6	0	109
444	38	5	0	8	7	7	0	116
445	42	14	0	8	5	5	0	111
446	30	8	0	4	5	6	1	94
447	48	10	0	7	7	6	0	115
448	38	11	0	5	4	4	0	92
449	40	11	0	7	7	7	0	108
450	45	10	0	7	5	6	0	98
451	33	6	0	6	6	6	0	103
452	39	12	0	8	6	9	0	104
453	36	9	0	7	5	8	0	111
454	34	13	0	6	6	6	0	94
455	37	19	0	6	5	7	1	96
456	31	11	0	5	6	6	1	93
457	34	8	0	8	6	5	0	100
458	48	21	0	6	8	6	0	94
459	47	11	0	6	7	5	0	106
460	37	7	0	5	8	6	1	110
461	35	15	0	6	5	4	1	100
462	34	11	0	6	5	6	0	108
463	42	12	0	7	8	5	0	104
464	36	5	0	3	3	6	1	71
465	24	6	0	5	6	7	0	74
466	36	14	0	6	6	6	1	103
467	44	11	0	6	7	5	0	105
468	42	9	0	7	8	6	0	106
469	35	5	0	5	6	7	1	107
470	40	8	0	5	7	5	0	100
471	41	13	0	7	7	6	0	96
472	39	12	0	8	7	6	1	96
473	41	10	0	4	5	4	1	105
474	46	17	0	5	6	7	0	110
475	40	16	0	6	6	7	0	92
476	40	6	0	4	5	5	0	106
477	40	7	0	7	6	5	0	103
478	45	17	0	6	6	5	0	97
479	35	7	0	8	7	6	0	94
480	40	10	0	8	7	7	0	102
