"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"V041108","V041108","factor","factor","0. No child in HH age 14-17|1. One child in HH age 14-17|2. Two children in HH age 14-17|3. Three children in HH age 14-17|.","0. No child in HH age 14-17|1. One child in HH age 14-17|2. Two children in HH age 14-17|3. Three children in HH age 14-17|.","",""
"V041109","V041109","factor","factor","1. R is person number 1 (1st person in HH listing)|2. R is person number 2 (2nd person in HH listing)|3. R is person number 3 (3rd person in HH listing)|4. R is person number 4 (4th person in HH listing)|5. R is person number 5 (5th person in HH listing)|6. R is person number 6 (6th person in HH listing)|7. R is person number 7 (7th person in HH listing)|8. R is person number 8 (8th person in HH listing)|.","1. R is person number 1 (1st person in HH listing)|2. R is person number 2 (2nd person in HH listing)|3. R is person number 3 (3rd person in HH listing)|4. R is person number 4 (4th person in HH listing)|5. R is person number 5 (5th person in HH listing)|6. R is person number 6 (6th person in HH listing)|7. R is person number 7 (7th person in HH listing)|8. R is person number 8 (8th person in HH listing)|.","",""
"V041109A","V041109A","factor","factor","1. Male|2. Female|.","1. Male|2. Female|.","",""
"V041109B","V041109B","factor","factor",".",".","",""
"V041109C","V041109C","factor","factor","0. No child in HH is (step)son/daughter of R|1. 1 child in HH is (step)son/daughter of R|2. 2 children in HH are (step)sons/daughters of R|3. 3 children in HH are (step)sons/daughters of R|4. 4 children in HH are (step)sons/daughters of R|5. 5 children in HH are (step)sons/daughters of R|6. 6 children in HH are (step)sons/daughters of R|.","0. No child in HH is (step)son/daughter of R|1. 1 child in HH is (step)son/daughter of R|2. 2 children in HH are (step)sons/daughters of R|3. 3 children in HH are (step)sons/daughters of R|4. 4 children in HH are (step)sons/daughters of R|5. 5 children in HH are (step)sons/daughters of R|6. 6 children in HH are (step)sons/daughters of R|.","",""
"V041109D","V041109D","factor","factor","0. No child in HH is (step)daughter of R|1. 1 child in HH is (step)daughter of R|2. 2 children in HH are (step)daughters of R|3. 3 children in HH are (step)daughters of R|4. 4 children in HH are (step)daughters of R|5. 5 children in HH are (step)daughters of R|6. 6 children in HH are (step)daughters of R|.","0. No child in HH is (step)daughter of R|1. 1 child in HH is (step)daughter of R|2. 2 children in HH are (step)daughters of R|3. 3 children in HH are (step)daughters of R|4. 4 children in HH are (step)daughters of R|5. 5 children in HH are (step)daughters of R|6. 6 children in HH are (step)daughters of R|.","",""
"V041110","V041110","factor","factor",".",".","",""
"V041111A","V041111A","integer","integer",".",".","",""
"V041111B","V041111B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041112A","V041112A","integer","integer",".",".","",""
"V041112B","V041112B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041113A","V041113A","integer","integer",".",".","",""
"V041113B","V041113B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041114A","V041114A","integer","integer",".",".","",""
"V041114B","V041114B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041115A","V041115A","integer","integer","19|20|21|25|27|47|52|.","19|20|21|25|27|47|52|.","",""
"V041115B","V041115B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041116A","V041116A","integer","integer","21|.","21|.","",""
"V041116B","V041116B","factor","factor","0. NA|1. Male|5. Female|.","0. NA|1. Male|5. Female|.","",""
"V041201","V041201","character","character",".",".","",""
"V041201A","V041201A","character","character",".",".","",""
"V041202","V041202","factor","factor",".",".","",""
"V041203","V041203","factor","factor",".",".","",""
"V041204","V041204","integer","integer",".",".","",""
"V041204A","V041204A","character","character",".",".","",""
"V041204B","V041204B","integer","integer",".",".","",""
"V041204C","V041204C","integer","integer",".",".","",""
"V041205","V041205","factor","factor","1. Northeast (CT,ME,MA,NH,NJ,NY,PA,RI,VT)|2. North Central (IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI)|3. South (AL,AR,DE,DC,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV|4. West (AK,AZ,CA,CO,HI,ID,MT,NM,NV,OR,UT,WA,WY)|.","1. Northeast (CT,ME,MA,NH,NJ,NY,PA,RI,VT)|2. North Central (IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI)|3. South (AL,AR,DE,DC,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV|4. West (AK,AZ,CA,CO,HI,ID,MT,NM,NV,OR,UT,WA,WY)|.","",""
"V041206","V041206","integer","integer",".",".","",""
"V041206A","V041206A","character","character","|.",".","",""
"V041207","V041207","integer","integer","999|.","999|.","",""
"V041207A","V041207A","character","character","|.",".","",""
"V041208","V041208","integer","integer","99999|.","99999|.","",""
"V041208A","V041208A","character","character","|.",".","",""
"V041209","V041209","integer","integer","9999|.","9999|.","",""
"V041210","V041210","integer","integer","99999|.","99999|.","",""
"V041211","V041211","integer","integer","99999|.","99999|.","",""
"V041212","V041212","integer","integer",".",".","",""
"V041213","V041213","factor","factor","1. Rural|5. Urban|.","1. Rural|5. Urban|.","",""
"V041214","V041214","integer","integer","999|.","999|.","",""
"V041214A","V041214A","integer","integer","99999|.","99999|.","",""
"V042001","V042001","factor","factor","1. A10 Pre and Pre patriotism module|2. A11 Pre and Pre patriotism module|3. A10 Pre and Post patriotism module|4. A11 Pre and Post patriotism module|.","1. A10 Pre and Pre patriotism module|2. A11 Pre and Pre patriotism module|3. A10 Pre and Post patriotism module|4. A11 Pre and Post patriotism module|.","",""
"V042002","V042002","factor","factor","00. NA|09. September|10. October|11. November|.","00. NA|09. September|10. October|11. November|.","",""
"V042003","V042003","integer","integer",".",".","",""
"V042004","V042004","character","character",".",".","",""
"V042005","V042005","factor","factor","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042006","V042006","factor","factor","00. NA|09. September|10. October|11. November|.","00. NA|09. September|10. October|11. November|.","",""
"V042007","V042007","integer","integer",".",".","",""
"V042008","V042008","character","character",".",".","",""
"V042009","V042009","factor","factor","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042010A","V042010A","integer","integer",".",".","",""
"V042010B","V042010B","integer","integer",".",".","",""
"V042011","V042011","factor","factor","0. NA|1. IW conducted in 1 session|2. IW conducted in 2 sessions|3. IW conducted in 3 sessions|4. IW conducted in 4 sessions|.","0. NA|1. IW conducted in 1 session|2. IW conducted in 2 sessions|3. IW conducted in 3 sessions|4. IW conducted in 4 sessions|.","",""
"V042012","V042012","factor","factor","0. Pre IW conducted using a single version of the instrument|1. Pre IW conducted using more than a single version|9. NA|.","0. Pre IW conducted using a single version of the instrument|1. Pre IW conducted using more than a single version|9. NA|.","",""
"V042013","V042013","factor","factor","0. NA|1. One interviewer conducted the entire interview|2. Two interviewers conducted the interview|.","0. NA|1. One interviewer conducted the entire interview|2. Two interviewers conducted the interview|.","",""
"V042014A","V042014A","character","character",".",".","",""
"V042014B","V042014B","character","character",".",".","",""
"V042014C","V042014C","character","character","0922|0924|0930|1027||.","0922|0924|0930|1027||.","",""
"V042014D","V042014D","character","character","0922||.","0922||.","",""
"V042015A","V042015A","factor","factor","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","0. NA|1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042015B","V042015B","factor","factor","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042015C","V042015C","factor","factor","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042015D","V042015D","factor","factor","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","1. September 2, 2004 version|2. September 8, 2004 version|3. September 16, 2004 version|4. September 29, 2004 version|.","",""
"V042016A","V042016A","factor","factor",".",".","",""
"V042016B","V042016B","factor","factor",".",".","",""
"V042016C","V042016C","factor","factor",".",".","",""
"V042017","V042017","integer","integer",".",".","",""
"V042018","V042018","integer","integer",".",".","",""
"V042019","V042019","integer","integer","0|1|2|3|4|5|6|7|8|9|10|11|12|.","0|1|2|3|4|5|6|7|8|9|10|11|12|.","",""
"V042020","V042020","integer","integer",".",".","",""
"V042021","V042021","factor","factor","0. Not a refusal conversion situation|1. Refusal conversion|.","0. Not a refusal conversion situation|1. Refusal conversion|.","",""
"V042022","V042022","factor","factor","1. All cases released at start of interviewing period|.","1. All cases released at start of interviewing period|.","",""
"V042023","V042023","factor","factor","1. All interviews conducted face-to-face|.","1. All interviews conducted face-to-face|.","",""
"V042024","V042024","factor","factor","1. Completed interview|.","1. Completed interview|.","",""
"V042025","V042025","integer","integer",".",".","",""
"V042026","V042026","factor","factor","1. All interviews were conducted in English|.","1. All interviews were conducted in English|.","",""
"V042027","V042027","factor","factor","0. Not selected for verification|2. Verified, no inconsistencies|3. Verified with discrepancies|4. Failed verification|5. Unable to verify (unable to contact respondent)|6. Verification limit met (used when the case if flagged for|.","0. Not selected for verification|2. Verified, no inconsistencies|3. Verified with discrepancies|4. Failed verification|5. Unable to verify (unable to contact respondent)|6. Verification limit met (used when the case if flagged for|.","",""
"V042028","V042028","factor","factor","0. Not flagged for evaluation|1. Flagged for evaluation;not evaluated|2. Evaluated|.","0. Not flagged for evaluation|1. Flagged for evaluation;not evaluated|2. Evaluated|.","",""
"V042029","V042029","factor","factor","1. Yes, tape-recorded|5. No|.","1. Yes, tape-recorded|5. No|.","",""
"V042030","V042030","factor","factor","20. $20|50. $50|.","20. $20|50. $50|.","",""
"V042031","V042031","factor","factor","00. Respondent refused payment|20. $20|50. $50|99. NA|.","00. Respondent refused payment|20. $20|50. $50|99. NA|.","",""
"V042032","V042032","character","character",".",".","",""
"V042033","V042033","factor","factor","1. All respondents paid by check|.","1. All respondents paid by check|.","",""
"V042034","V042034","factor","factor","1. All respondents received $5 cash and a magnet|.","1. All respondents received $5 cash and a magnet|.","",""
"V042035","V042035","factor","factor","0. Persuasion letters not documented|.","0. Persuasion letters not documented|.","",""
"V042036A","V042036A","factor","factor","0. Positive comment not coded at any call|1. Positive comment coded for at least one call|9. NA|.","0. Positive comment not coded at any call|1. Positive comment coded for at least one call|9. NA|.","",""
"V042036B","V042036B","factor","factor","0. Time-delay comment not coded at any call|1. Time-delay comment coded for at least one call|9. NA|.","0. Time-delay comment not coded at any call|1. Time-delay comment coded for at least one call|9. NA|.","",""
"V042036C","V042036C","factor","factor","0. Negative comment not coded at any call|1. Negative comment coded for at least one call|9. NA|.","0. Negative comment not coded at any call|1. Negative comment coded for at least one call|9. NA|.","",""
"V042036D","V042036D","factor","factor","0. Eligibility comment not coded at any call|1. Eligibility comment coded for at least one call|9. NA|.","0. Eligibility comment not coded at any call|1. Eligibility comment coded for at least one call|9. NA|.","",""
"V042036E","V042036E","factor","factor","0. Privacy comment not coded at any call|1. Privacy comment coded for at least one call|9. NA|.","0. Privacy comment not coded at any call|1. Privacy comment coded for at least one call|9. NA|.","",""
"V042036F","V042036F","factor","factor","0. Political disinterest comment not coded at any call|1. Political disinterest comment coded for at least one call|9. NA|.","0. Political disinterest comment not coded at any call|1. Political disinterest comment coded for at least one call|9. NA|.","",""
"V042037A","V042037A","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037B","V042037B","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037C","V042037C","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037D","V042037D","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037E","V042037E","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037F","V042037F","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037G","V042037G","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037H","V042037H","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037J","V042037J","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037K","V042037K","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037M","V042037M","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037N","V042037N","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037P","V042037P","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037Q","V042037Q","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037R","V042037R","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037S","V042037S","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037T","V042037T","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037U","V042037U","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037V","V042037V","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037W","V042037W","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042037Y","V042037Y","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042038","V042038","factor","factor","0. Respondent did not initially refuse|1. Respondent initial refusal|.","0. Respondent did not initially refuse|1. Respondent initial refusal|.","",""
"V042039","V042039","factor","factor","0. Informant did not initially refuse|1. Informant initial refusal|.","0. Informant did not initially refuse|1. Informant initial refusal|.","",""
"V042040","V042040","factor","factor","0. NA|1. Mobile home|2. Detached single family|3. Multi-family|4. Apartment house|5. Condo complex|7. Other {SPECIFY}|.","0. NA|1. Mobile home|2. Detached single family|3. Multi-family|4. Apartment house|5. Condo complex|7. Other {SPECIFY}|.","",""
"V042041","V042041","factor","factor","0. NA|1. Single family home|2. Structure with 2 to 9 units|3. Structure with 10 to 49 units|4. Structure with 50 or more units|7. Other {SPECIFY}|.","0. NA|1. Single family home|2. Structure with 2 to 9 units|3. Structure with 10 to 49 units|4. Structure with 50 or more units|7. Other {SPECIFY}|.","",""
"V042042","V042042","factor","factor","0. NA|1. Entirely residential|2. Primarily residential with some commercial or other|3. Primarily commercial or other non-residential|.","0. NA|1. Entirely residential|2. Primarily residential with some commercial or other|3. Primarily commercial or other non-residential|.","",""
"V042043","V042043","factor","factor","0. NA|1. Rural area|2. Small town|3. Suburb|4. Large city|5. Inner city|.","0. NA|1. Rural area|2. Small town|3. Suburb|4. Large city|5. Inner city|.","",""
"V042044","V042044","factor","factor","0. NA|1. Yes {SPECIFY}|5. No|.","0. NA|1. Yes {SPECIFY}|5. No|.","",""
"V042044A","V042044A","factor","factor","0. NA|1. Democratic Presidential candidate|2. Republican Presidential candidate|3. Congressional candidate|4. Candidate for governor|5. 1 or more local candidates|7. Other non-presidential candidate, NA what level|.","0. NA|1. Democratic Presidential candidate|2. Republican Presidential candidate|3. Congressional candidate|4. Candidate for governor|5. 1 or more local candidates|7. Other non-presidential candidate, NA what level|.","",""
"V042044B","V042044B","factor","factor","1. Democratic Presidential candidate|2. Republican Presidential candidate|3. Congressional candidate|4. Candidate for governor|5. 1 or more local candidates|7. Other non-presidential candidate, NA what level|.","1. Democratic Presidential candidate|2. Republican Presidential candidate|3. Congressional candidate|4. Candidate for governor|5. 1 or more local candidates|7. Other non-presidential candidate, NA what level|.","",""
"V042045X","V042045X","factor","factor","0. None of the specified impediments coded at any call and|1. 1 or more specified impediments coded|9. NA|.","0. None of the specified impediments coded at any call and|1. 1 or more specified impediments coded|9. NA|.","",""
"V042045A","V042045A","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042045B","V042045B","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042045C","V042045C","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042045D","V042045D","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042046X","V042046X","factor","factor","0. None of the specified security measures coded at any call|1. 1 or more specified impediments coded|9. NA|.","0. None of the specified security measures coded at any call|1. 1 or more specified impediments coded|9. NA|.","",""
"V042046A","V042046A","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042046B","V042046B","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042046C","V042046C","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042046D","V042046D","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042046E","V042046E","factor","factor","0. NA|1. Coded at 1 or more calls|5. Not coded|.","0. NA|1. Coded at 1 or more calls|5. Not coded|.","",""
"V042047","V042047","factor","factor","0. NA|1. Yes|2. No, but building is locked/subdivision is gated and locke|5. No|.","0. NA|1. Yes|2. No, but building is locked/subdivision is gated and locke|5. No|.","",""
"V042047A","V042047A","factor","factor","0. NA|1. Building manager or other gatekeeper must let you in the|2. Building manager or other gatekeeper must get permission|7. Other {SPECIFY}|.","0. NA|1. Building manager or other gatekeeper must let you in the|2. Building manager or other gatekeeper must get permission|7. Other {SPECIFY}|.","",""
"V042048A","V042048A","factor","factor","0. Gatekeeper noted at neither PreAdmin.45c nor PreAdmin.47|1. Gatekeeper noted at PreAdmin.45c but not at PreAdmin.47|2. Gatekeeper noted at PreAdmin.47 but not at PreAdmin.45c|3. Gatekeeper noted at both PreAdmin.45c and PreAdmin.47|9. NA in both PreAdmin.45c and PreAdmin.47|.","0. Gatekeeper noted at neither PreAdmin.45c nor PreAdmin.47|1. Gatekeeper noted at PreAdmin.45c but not at PreAdmin.47|2. Gatekeeper noted at PreAdmin.47 but not at PreAdmin.45c|3. Gatekeeper noted at both PreAdmin.45c and PreAdmin.47|9. NA in both PreAdmin.45c and PreAdmin.47|.","",""
"V042048B","V042048B","factor","factor","0. Locked status noted at neither PreAdmin.45b nor PreAdmin.|1. Locked status noted at PreAdmin.45b but not at PreAdmin.|2. Locked status noted at PreAdmin.47 but not at PreAdmin.45|3. Locked status noted at both PreAdmin.45b and PreAdmin.47|9. NA in both PreAdmin.45b and PreAdmin.47|.","0. Locked status noted at neither PreAdmin.45b nor PreAdmin.|1. Locked status noted at PreAdmin.45b but not at PreAdmin.|2. Locked status noted at PreAdmin.47 but not at PreAdmin.45|3. Locked status noted at both PreAdmin.45b and PreAdmin.47|9. NA in both PreAdmin.45b and PreAdmin.47|.","",""
"V042101","V042101","integer","integer",".",".","",""
"V042101A","V042101A","integer","integer",".",".","",""
"V042102","V042102","integer","integer","1835779|12874397|37426796|46644514|58809065|69114547|71570049|.","1835779|12874397|37426796|46644514|58809065|69114547|71570049|.","",""
"V042103","V042103","factor","factor","0. NA.|1. Male.|5. Female.|.","0. NA.|1. Male.|5. Female.|.","",""
"V042104","V042104","factor","factor","0. NA.|1. High school graduate.|2. College graduate.|.","0. NA.|1. High school graduate.|2. College graduate.|.","",""
"V042105","V042105","factor","factor","0. NA.|1. White.|2. Nonwhite.|.","0. NA.|1. White.|2. Nonwhite.|.","",""
"V042106","V042106","factor","factor","0. NA.|1. Hispanic.|7. Other.|.","0. NA.|1. Hispanic.|7. Other.|.","",""
"V042107","V042107","factor","factor","0. Does not speak Spanish.|1. Speaks Spanish.|9. NA.|.","0. Does not speak Spanish.|1. Speaks Spanish.|9. NA.|.","",""
"V042108","V042108","factor","factor","0. NA.|1. 0-5 years.|2. 6-10 years.|3. 11 or more years.|.","0. NA.|1. 0-5 years.|2. 6-10 years.|3. 11 or more years.|.","",""
"V042109","V042109","factor","factor","0. NA.|1. 18-34 years.|2. 35-50 years.|3. 51-64 years.|4. 65 years or more.|.","0. NA.|1. 18-34 years.|2. 35-50 years.|3. 51-64 years.|4. 65 years or more.|.","",""
"V042201","V042201","factor","factor","0. No error in Pre application|1. Error in E8 (skipped E8a)|2. Error in E9 (skipped E9a)|3. Error in E8 and E9 (skipped E8a and E9a)|.","0. No error in Pre application|1. Error in E8 (skipped E8a)|2. Error in E9 (skipped E9a)|3. Error in E8 and E9 (skipped E8a and E9a)|.","",""
"V042202","V042202","factor","factor","0. No error;F3-F6 not skipped|1. Error;F3-F6 skipped|.","0. No error;F3-F6 not skipped|1. Error;F3-F6 skipped|.","",""
"V042401","V042401","factor","factor","1. President Bush likes-dislikes administered first (A3-A4)|2. John Kerry likes-dislikes administered first (A5-A6)|.","1. President Bush likes-dislikes administered first (A3-A4)|2. John Kerry likes-dislikes administered first (A5-A6)|.","",""
"V042402","V042402","factor","factor","1. John Kerry thermometer administered first (B1b)|2. Ralph Nader thermometer administered first (B1c)|.","1. John Kerry thermometer administered first (B1b)|2. Ralph Nader thermometer administered first (B1c)|.","",""
"V042403A","V042403A","factor","factor","1. Administered as 1st name|2. Administered as 2nd name|3. Administered as 3rd name|4. Administered as 4th name|5. Administered as 5th name|6. Administered as 6th name|7. Administered as 7th name|8. Administered as 8th name|.","1. Administered as 1st name|2. Administered as 2nd name|3. Administered as 3rd name|4. Administered as 4th name|5. Administered as 5th name|6. Administered as 6th name|7. Administered as 7th name|8. Administered as 8th name|.","",""
"V042403B","V042403B","factor","factor","1. Administered as 1st name|2. Administered as 2nd name|3. Administered as 3rd name|4. Administered as 4th name|5. Administered as 5th name|6. Administered as 6th name|7. Administered as 7th name|8. Administered as 8th name|.","1. Administered as 1st name|2. Administered as 2nd name|3. Administered as 3rd name|4. Administered as 4th name|5. Administered as 5th name|6. Administered as 6th name|7. Administered as 7th name|8. Administered as 8th name|.","",""
