"student","gpa1","job1","gpa2","job2","gpa3","job3","gpa4","job4","gpa5","job5","gpa6","job6","sex","highgpa","admitted"
27,2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.5,"2 hours",2.20000004768372,"3 hours",2.79999995231628,"3 hours",2.5,"3 hours","male",3.29999995231628,"no"
28,2.59999990463257,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"1 hour",3.20000004768372,"2 hours","female",3.5,"yes"
29,2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"3 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours","female",3.29999995231628,NA
30,2.90000009536743,"2 hours",3,"2 hours",3.20000004768372,"1 hour",3.09999990463257,"2 hours",3.20000004768372,"1 hour",3.29999995231628,"2 hours","female",2.40000009536743,"yes"
31,2.59999990463257,"2 hours",2.20000004768372,"2 hours",2.09999990463257,"3 hours",2.40000009536743,"3 hours",2.59999990463257,"3 hours",2.79999995231628,"2 hours","female",2,"no"
32,2.79999995231628,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.59999990463257,"2 hours","female",3.5,NA
33,2.29999995231628,"2 hours",3,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours",3,"2 hours","female",3.20000004768372,"no"
34,2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.59999990463257,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours","male",3.90000009536743,"no"
35,2.5,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours",3.59999990463257,"2 hours","male",3.5,NA
36,2.5,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.20000004768372,"2 hours",3,"2 hours",3.5,"1 hour","male",2.90000009536743,NA
37,2.20000004768372,"3 hours",2.5,"2 hours",3.29999995231628,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours","male",3,NA
38,2.90000009536743,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours",3.59999990463257,"2 hours",3.79999995231628,"2 hours","female",2.90000009536743,NA
39,2.40000009536743,"2 hours",2.29999995231628,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","male",3.5,"no"
40,2.5,"2 hours",2.90000009536743,"2 hours",3.20000004768372,"2 hours",3.59999990463257,"2 hours",3.29999995231628,"2 hours",3.59999990463257,"2 hours","female",3.09999990463257,NA
41,2.90000009536743,"2 hours",3.5,"2 hours",3.20000004768372,"1 hour",3.5,"2 hours",3.79999995231628,"1 hour",3.90000009536743,"1 hour","female",3.29999995231628,NA
42,2.5,"2 hours",2.5,"2 hours",3.40000009536743,"1 hour",2.59999990463257,"2 hours",2.79999995231628,"2 hours",3,"2 hours","male",3.90000009536743,"no"
43,2,"2 hours",2.5,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours",3.59999990463257,"2 hours","female",2.29999995231628,"yes"
44,3.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours","female",3.5,NA
45,2.70000004768372,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours","female",2.40000009536743,"no"
46,2.90000009536743,"2 hours",2.20000004768372,"2 hours",2.70000004768372,"2 hours",2.40000009536743,"3 hours",2.59999990463257,"2 hours",2.40000009536743,"2 hours","male",2.09999990463257,"no"
47,2.59999990463257,"2 hours",2.5,"2 hours",2.79999995231628,"2 hours",2.20000004768372,"2 hours",2.79999995231628,"3 hours",2.70000004768372,"3 hours","female",2.79999995231628,"yes"
48,2.90000009536743,"2 hours",2.5,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"2 hours",3,"2 hours",3.20000004768372,"2 hours","female",2.59999990463257,"no"
49,3.09999990463257,"2 hours",2.70000004768372,"3 hours",3,"2 hours",2.70000004768372,"2 hours",3,"2 hours",3.40000009536743,"2 hours","male",2.79999995231628,"yes"
50,2.40000009536743,"2 hours",2.70000004768372,"2 hours",2.40000009536743,"2 hours",3.20000004768372,"2 hours",3,"2 hours",3,"2 hours","male",3.79999995231628,"yes"
51,1.70000004768372,"2 hours",2.5,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours",3,"2 hours",3.29999995231628,"1 hour","male",2.09999990463257,"no"
52,2.5,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours","female",3.5,NA
53,2.79999995231628,"2 hours",3.40000009536743,"2 hours",2.70000004768372,"2 hours",3,"1 hour",2.79999995231628,"2 hours",3,"1 hour","male",2.29999995231628,"yes"
54,2.79999995231628,"2 hours",2.5,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours","female",2.20000004768372,NA
55,2.40000009536743,"2 hours",2.79999995231628,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours","male",3.29999995231628,"yes"
56,2.20000004768372,"2 hours",2,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"3 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","male",2.09999990463257,"yes"
57,2.5,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"2 hours",3.40000009536743,"2 hours",3.29999995231628,"2 hours","male",3.5,"yes"
58,2.5,"2 hours",2.20000004768372,"2 hours",2.40000009536743,"3 hours",2.79999995231628,"3 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","female",2.5,"no"
59,2.79999995231628,"2 hours",2.79999995231628,"2 hours",2.59999990463257,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"1 hour","male",2.5,"yes"
60,2,"2 hours",2.70000004768372,"3 hours",2.59999990463257,"2 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"2 hours","male",2.29999995231628,"no"
61,2.40000009536743,"3 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"1 hour",3.5,"1 hour",3.5,"1 hour","male",2.5,NA
62,2.40000009536743,"2 hours",2.20000004768372,"2 hours",2.5,"2 hours",3,"2 hours",2.90000009536743,"2 hours",3.40000009536743,"1 hour","male",3,NA
63,2.59999990463257,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"1 hour","female",3.79999995231628,NA
64,2.40000009536743,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours","female",2.20000004768372,"yes"
65,1.89999997615814,"3 hours",2.90000009536743,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours","male",3.59999990463257,"no"
66,2.29999995231628,"3 hours",2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.70000004768372,"2 hours","female",3.79999995231628,NA
67,2.59999990463257,"2 hours",3,"2 hours",2.5,"2 hours",2.40000009536743,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours","female",3.29999995231628,"no"
68,2.29999995231628,"3 hours",2.09999990463257,"2 hours",2.29999995231628,"3 hours",2.79999995231628,"2 hours",2.70000004768372,"3 hours",3.09999990463257,"2 hours","male",2.90000009536743,"yes"
69,2.29999995231628,"2 hours",2.29999995231628,"2 hours",2.5,"3 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",2.79999995231628,"2 hours","male",2.5,"no"
70,2.70000004768372,"2 hours",2.40000009536743,"3 hours",3,"2 hours",3.20000004768372,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"1 hour","male",3.70000004768372,"yes"
71,2.90000009536743,"2 hours",2.79999995231628,"2 hours",3,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"2 hours","female",3.40000009536743,"yes"
72,3,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours",3.20000004768372,"2 hours",3.70000004768372,"2 hours",3.70000004768372,"2 hours","female",2.90000009536743,"yes"
73,2.59999990463257,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.79999995231628,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours","male",4,"no"
74,3.5,"2 hours",2.90000009536743,"3 hours",2.79999995231628,"3 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours","male",3.40000009536743,NA
75,2.5,"2 hours",2.5,"2 hours",3.20000004768372,"2 hours",3,"2 hours",3.20000004768372,"2 hours",3,"2 hours","female",2,"no"
76,2.40000009536743,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"2 hours",3.40000009536743,"1 hour",3.29999995231628,"1 hour",3.5,"1 hour","male",2.90000009536743,NA
77,2.40000009536743,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours",3.79999995231628,"2 hours",4,"1 hour",4,"1 hour","female",2.79999995231628,NA
78,2.40000009536743,"3 hours",2.5,"2 hours",2.09999990463257,"2 hours",2.5,"2 hours",2.29999995231628,"2 hours",2.79999995231628,"2 hours","male",2.90000009536743,"no"
79,2.29999995231628,"2 hours",1.79999995231628,"3 hours",2.20000004768372,"3 hours",2.29999995231628,"3 hours",2.5,"2 hours",2.79999995231628,"2 hours","female",2.59999990463257,"no"
80,3.09999990463257,"2 hours",2.79999995231628,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.20000004768372,"2 hours","female",3.70000004768372,NA
81,2.29999995231628,"2 hours",2.40000009536743,"3 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.59999990463257,"2 hours","female",2.20000004768372,NA
82,3.29999995231628,"2 hours",3.20000004768372,"2 hours",2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"2 hours",3.59999990463257,"2 hours","female",3.59999990463257,NA
83,2.5,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"1 hour",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"1 hour","female",2.29999995231628,NA
84,2.29999995231628,"2 hours",2.09999990463257,"3 hours",2.40000009536743,"3 hours",2.09999990463257,"2 hours",2.20000004768372,"3 hours",2.40000009536743,"3 hours","male",3.70000004768372,"no"
85,2.40000009536743,"3 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours","female",2.79999995231628,"no"
86,2.70000004768372,"2 hours",2.5,"2 hours",3,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours","male",2.5,"yes"
87,2.29999995231628,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours","female",2.09999990463257,"yes"
88,2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.5,"3 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",3,"2 hours","male",2.20000004768372,"yes"
89,2.59999990463257,"2 hours",2.79999995231628,"2 hours",3.20000004768372,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours","male",3.70000004768372,NA
90,2.40000009536743,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours",3,"2 hours",3,"2 hours",3.20000004768372,"2 hours","female",2.59999990463257,"no"
91,2,"2 hours",2.5,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours","male",3.59999990463257,"no"
92,2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.79999995231628,"2 hours",4,"1 hour",4,"1 hour",4,"1 hour","female",2.70000004768372,NA
93,2.90000009536743,"2 hours",3.5,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"2 hours","male",3.5,NA
94,2.70000004768372,"2 hours",2.90000009536743,"3 hours",3,"2 hours",2.70000004768372,"3 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours","female",3.70000004768372,"yes"
95,2.5,"2 hours",2.5,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours","female",3.40000009536743,"no"
96,2.40000009536743,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.79999995231628,"2 hours","female",2.29999995231628,NA
97,2.29999995231628,"3 hours",2.5,"3 hours",3,"2 hours",3.20000004768372,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"2 hours","male",2.59999990463257,"no"
98,3.29999995231628,"2 hours",2.40000009536743,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours","female",3.40000009536743,NA
99,2.20000004768372,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",2.79999995231628,"3 hours",2.79999995231628,"3 hours",2.79999995231628,"2 hours","female",2.90000009536743,"yes"
100,2.70000004768372,"3 hours",2,"2 hours",2,"3 hours",2.29999995231628,"3 hours",2.40000009536743,"3 hours",2.70000004768372,"3 hours","male",2.79999995231628,"no"
101,2.79999995231628,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.59999990463257,"2 hours",3.59999990463257,"2 hours",3.70000004768372,"1 hour","female",3.40000009536743,NA
102,3.09999990463257,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"3 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours","male",3.5,"yes"
103,2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","female",2.29999995231628,"yes"
104,2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"2 hours","female",3.5,"yes"
105,3.40000009536743,"2 hours",3.90000009536743,"2 hours",3.90000009536743,"2 hours",3.5,"2 hours",3.90000009536743,"2 hours",3.90000009536743,"2 hours","female",3.59999990463257,NA
106,1.79999995231628,"2 hours",2.79999995231628,"2 hours",2.59999990463257,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours","male",2.59999990463257,"no"
107,2.40000009536743,"2 hours",2.5,"2 hours",2.29999995231628,"2 hours",2.29999995231628,"2 hours",2.59999990463257,"2 hours",2.70000004768372,"2 hours","male",3.20000004768372,"no"
108,2.70000004768372,"2 hours",2,"2 hours",2,"3 hours",2.59999990463257,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours","male",2.29999995231628,"no"
109,2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours","male",3.20000004768372,"yes"
110,2.5,"2 hours",2.29999995231628,"2 hours",2.20000004768372,"2 hours",2.20000004768372,"3 hours",2.20000004768372,"2 hours",2.29999995231628,"2 hours","male",2.40000009536743,"no"
111,2.40000009536743,"2 hours",2.5,"2 hours",2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.20000004768372,"3 hours",2.5,"2 hours","female",2.20000004768372,"no"
112,3,"2 hours",3.5,"2 hours",3.20000004768372,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",2.5,NA
113,2.70000004768372,"2 hours",2.40000009536743,"2 hours",3,"2 hours",2.5,"3 hours",2.59999990463257,"3 hours",2.79999995231628,"3 hours","male",3.70000004768372,"yes"
114,2.79999995231628,"2 hours",2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",4,"yes"
115,2.20000004768372,"2 hours",2.09999990463257,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours",3.20000004768372,"2 hours","female",3.59999990463257,"yes"
116,2.5,"2 hours",2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"3 hours",3.09999990463257,"2 hours","female",2.20000004768372,"no"
117,2.79999995231628,"2 hours",2.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",2.29999995231628,"no"
118,2.5,"2 hours",2.40000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"1 hour",3.59999990463257,"2 hours","female",2.20000004768372,NA
119,2.40000009536743,"3 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",2.90000009536743,"3 hours","male",2.40000009536743,"no"
120,2.5,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",2.79999995231628,"2 hours",3,"2 hours",3.29999995231628,"2 hours","male",3.90000009536743,"yes"
121,2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours","male",3.70000004768372,"yes"
122,3,"2 hours",3.29999995231628,"2 hours",2.90000009536743,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3.59999990463257,"2 hours","female",2.5,NA
123,2.90000009536743,"2 hours",2.29999995231628,"2 hours",2.29999995231628,"3 hours",2.40000009536743,"2 hours",2.20000004768372,"2 hours",2.5,"2 hours","male",2.79999995231628,"yes"
124,2.5,"2 hours",3.09999990463257,"2 hours",2.5,"2 hours",3.29999995231628,"2 hours",3,"2 hours",3.40000009536743,"2 hours","female",3.59999990463257,"yes"
125,2.79999995231628,"2 hours",2.29999995231628,"3 hours",2.70000004768372,"3 hours",2.40000009536743,"2 hours",2.59999990463257,"3 hours",3,"2 hours","male",3.79999995231628,"no"
126,2.5,"2 hours",2.70000004768372,"2 hours",2.09999990463257,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours","female",3.09999990463257,"yes"
127,2.70000004768372,"3 hours",2.29999995231628,"3 hours",2.40000009536743,"2 hours",2.59999990463257,"2 hours",2.29999995231628,"3 hours",2.5,"3 hours","male",2.5,"no"
128,3,"2 hours",2.70000004768372,"3 hours",2.29999995231628,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","female",3.79999995231628,"yes"
129,2.70000004768372,"2 hours",2.79999995231628,"3 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"3 hours","female",3.40000009536743,"yes"
130,2.40000009536743,"2 hours",2.90000009536743,"2 hours",3.59999990463257,"2 hours",3.09999990463257,"2 hours",3,"1 hour",3.09999990463257,"2 hours","male",2.90000009536743,NA
131,2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.70000004768372,"2 hours","female",2.20000004768372,NA
132,2.20000004768372,"3 hours",2.70000004768372,"2 hours",3.40000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.70000004768372,"2 hours","male",2.70000004768372,"no"
133,2.5,"2 hours",2.79999995231628,"2 hours",2.29999995231628,"2 hours",2.09999990463257,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours","male",2,"no"
134,2.5,"2 hours",3.09999990463257,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours","female",2.79999995231628,"yes"
135,3,"2 hours",2.70000004768372,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours","female",2.29999995231628,NA
136,2.79999995231628,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"3 hours","female",2,"yes"
137,2.79999995231628,"2 hours",2.09999990463257,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",3,"2 hours","male",2,"yes"
138,2.5,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","female",3.29999995231628,"yes"
139,2.5,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"1 hour",3.40000009536743,"2 hours","female",3.90000009536743,NA
140,2.5,"2 hours",2.90000009536743,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"3 hours","male",2.79999995231628,"no"
141,2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.09999990463257,"2 hours","female",2.09999990463257,NA
142,2.79999995231628,"2 hours",2.90000009536743,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","female",2.90000009536743,"yes"
143,2.90000009536743,"3 hours",2.70000004768372,"3 hours",2.40000009536743,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3,"1 hour","female",3.09999990463257,NA
144,2.5,"2 hours",3,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3,"2 hours",3.40000009536743,"2 hours","female",3.59999990463257,"yes"
145,2.40000009536743,"2 hours",2.5,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours","female",2.79999995231628,"no"
146,2.59999990463257,"3 hours",2.40000009536743,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours",2.5,"2 hours",2.90000009536743,"3 hours","female",3.40000009536743,"no"
147,2.59999990463257,"2 hours",2.90000009536743,"2 hours",3.40000009536743,"2 hours",3.5,"2 hours",3.59999990463257,"2 hours",3.90000009536743,"1 hour","male",3.40000009536743,NA
148,2.5,"2 hours",3,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"3 hours","male",3.09999990463257,"no"
149,2.70000004768372,"3 hours",2.70000004768372,"2 hours",2.40000009536743,"2 hours",2.90000009536743,"2 hours",3,"1 hour",3.09999990463257,"2 hours","female",2.40000009536743,"no"
150,2.70000004768372,"2 hours",2.79999995231628,"3 hours",2.40000009536743,"2 hours",2.40000009536743,"2 hours",2.59999990463257,"3 hours",2.70000004768372,"3 hours","male",2.70000004768372,"no"
